,Trddt,Unnamed: 0,year,month,beta,BP,earningsfactor,leveragefactor,RSTR,Non-Linear Size,residualvolatilityfactor,Size,ret+1,Msmvosd
11,2014-02-01,18947.061329999997,1941.61684,1.9281199999999998,-0.0961432324654275,0.690261743167981,0.7798478218985407,0.047076972831748054,-0.5979674842449451,2.61357707137534,0.04288603298122166,2.371192523953731,-0.0034444946699999997,0.004622138683445996
12,2014-03-01,20782.56479,1943.5100000000002,2.895,-0.17658077446569528,0.7349197269836433,0.8184442294549736,0.06635211406804062,-0.5476246048697724,2.6707973092872725,0.03055110197954103,2.417013651073322,-0.00725901549,0.0048093730226125096
13,2014-04-01,22513.44976,1936.2193200000002,3.84552,-0.26460395565143535,0.6834721192631783,0.7896872225539184,0.04846263446495642,-0.30719903706283347,2.696309546531213,-0.028132461688173065,2.4371185309195393,0.00959551399,0.004951083263737786
14,2014-05-01,24431.855929999998,1945.3427399999998,4.82955,-0.24414878932017886,0.7137816557094885,0.8043175594507762,0.07332931323955916,-0.4084137097192583,2.6931432923565595,-0.06996014464162652,2.4375929009358304,0.003503835819999999,0.004955706759971424
15,2014-06-01,25825.42971,1913.25972,5.69988,-0.2675281950777663,0.6891528572015443,0.7993384010160896,0.0558349100301183,-0.47931885399505847,2.6651257132035404,-0.08207013209494037,2.418498428606367,0.01547037758,0.004748754988762938
16,2014-07-01,27665.1431,1914.5084000000002,6.6542,0.17695886362927465,0.7265133704538211,0.7539115402528046,0.06979502886920488,-0.3527406450990266,2.7073654623875165,-0.2995699341832045,2.454434600483354,0.1004641842,0.004715099214528751
17,2014-08-01,29461.538479999996,1911.8700600000002,7.594320000000001,0.02838267897183392,0.8097296003937944,0.7555526273555151,0.12405637421767762,-0.6352812628722064,2.6535237397391565,-0.3113316415451925,2.417877893528579,-0.00042046031000000103,0.004403976536929057
18,2014-09-01,31411.437359999996,1917.67038,8.56953,-0.1668755525594962,0.9650225855251761,0.7551032295881779,0.15357697679625568,-0.844326653929746,2.5909290880428113,-0.2374139896853352,2.3805306366498167,0.05367999438,0.004034194259796821
19,2014-10-01,32843.11925,1893.4620999999997,9.401499999999999,-0.34260232055234685,0.9759373368787653,0.7596917700981519,0.175533490873124,-0.6453328761003012,2.5839399101777523,-0.33695978192718745,2.371076621958668,0.025500831440000003,0.004090869557103237
20,2014-11-01,35129.0928,1917.30786,10.471889999999998,0.2377440106530476,0.8998430941466016,0.7343322143086295,0.19537892223366396,-0.11583117463747454,2.650270420749952,-0.6731236031767959,2.4274801616523543,0.13047211875,0.004279224456390438
